N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
209,1990,Belize,,,,,,,,,,,,,,,35.0,445.0,,,,,,,,,,,,,6691.0,12650.0,2764.0,3025.0,,,,,,,,,,,,,,,,,,542.0,,,1901.0
210,1990,Costa Rica,,,29.0,10.0,8.0,,,8.0,4504.0,,3.0,553.0,7.0,,48.0,356.0,3.0,3.0,268.0,1.0,2.0,1.0,,26.0,,6.0,202.0,,56257.0,1977.0,2608.0,2081.0,99153.0,8692.0,1041.0,269.0,346.0,1490.0,4372.0,736.0,,6.0,20.0,58.0,2225.0,13.0,252.0,1030.0,5.0,810.0,7.0,1.0,8586.0
211,1990,El Salvador,,,,,64.0,,,,84.0,,,38.0,,,,16.0,,,109.0,,,,,,,,244.0,1558.0,,8235.0,15774.0,2457.0,3893.0,557.0,255.0,73.0,329.0,380.0,386.0,155.0,,,,36.0,246.0,,120.0,258.0,,508.0,,,8033.0
212,1990,Guatemala,,,,,,,,,275.0,,,59.0,,,26.0,,,,69.0,,,,,,,,543.0,758.0,236655.0,,4768.0,5402.0,3726.0,242.0,285.0,67.0,77.0,271.0,490.0,120.0,,13.0,,72.0,210.0,,95.0,113.0,,272.0,269.0,,5822.0
213,1990,Honduras,,,,,,,,68.0,464.0,,,103.0,,,34.0,20.0,,,98.0,,,,,,,,213.0,594.0,114810.0,3250.0,,795.0,142802.0,190.0,145.0,112.0,179.0,273.0,409.0,348.0,,,,27.0,291.0,,51.0,75.0,,264.0,,,2692.0
214,1990,Mexico,,,,,,,,,2660.0,,,522.0,,,475.0,116.0,,,1287.0,,,,,32.0,,,1415.0,2088.0,301106.0,72343.0,1990.0,,3096.0,25641.0,4340.0,1519.0,1682.0,2783.0,4660.0,719.0,,,,290.0,2981.0,,1113.0,1460.0,,3100.0,,,198230.0
215,1990,Nicaragua,,35.0,,23.0,,,,,896.0,,,65.0,,,25.0,39.0,,,54.0,,,,,,,,60.0,5959.0,12443.0,1134.0,10105.0,925.0,,442.0,185.0,47.0,138.0,144.0,298.0,98.0,,,,,221.0,,11.0,146.0,,185.0,,,3721.0
216,1990,Panama,,,,,137.0,,,,3267.0,61.0,12.0,1474.0,21.0,,122.0,942.0,,,253.0,,,,,64.0,,,64.0,3919.0,2396.0,376.0,638.0,1393.0,4553.0,,580.0,213.0,633.0,998.0,13968.0,1414.0,,,46.0,38.0,1781.0,,147.0,487.0,,140.0,,11.0,3318.0
218,1990,Argentina,,,1.0,,16.0,,,,1427.0,,9.0,265.0,25.0,,75.0,27.0,,,210.0,,,,,75.0,,,12.0,462.0,182.0,116.0,141.0,2332.0,145.0,376.0,,147234.0,34359.0,223528.0,2702.0,999.0,,,,257243.0,16366.0,11.0,136906.0,1981.0,,796.0,36.0,,9992.0
219,1990,Bolivia (Plurinational State of),,10.0,0.0,9.0,7.0,13.0,,,105.0,110.0,6.0,44.0,1.0,,6.0,5.0,,,33.0,1.0,,,32.0,4.0,,,991.0,102.0,57.0,146.0,232.0,8125.0,66.0,92.0,21923.0,,10558.0,4807.0,651.0,299.0,,0.0,1.0,1173.0,7138.0,1.0,402.0,369.0,0.0,1765.0,,0.0,3078.0
220,1990,Brazil,,,,,,,,,442.0,,,277.0,,,254.0,24.0,,,,,,,,,,,,388.0,405.0,53.0,280.0,792.0,329.0,974.0,28350.0,15996.0,,22243.0,2223.0,614.0,,742.0,1093.0,21394.0,5716.0,120.0,23363.0,1220.0,,970.0,,,11806.0
221,1990,Chile,8.0,13.0,50.0,1.0,23.0,,0.0,17.0,518.0,,8.0,124.0,7.0,2.0,36.0,14.0,5.0,10.0,121.0,13.0,5.0,0.0,,6.0,3.0,1.0,16.0,428.0,226.0,143.0,215.0,746.0,168.0,351.0,32696.0,7277.0,4332.0,,1554.0,2163.0,5.0,2.0,7.0,641.0,7052.0,8.0,1393.0,2349.0,21.0,1051.0,6.0,2.0,5650.0
222,1990,Colombia,39.0,37.0,283.0,,,,,,1296.0,83.0,46.0,361.0,,,100.0,96.0,,,432.0,,,,22.0,52.0,,,,691.0,297.0,264.0,265.0,1908.0,470.0,2073.0,2359.0,634.0,1728.0,1859.0,,11870.0,,,17.0,237.0,2896.0,,360.0,33123.0,,682.0,,,13478.0
223,1990,Ecuador,,,,16.0,,,,,998.0,,,118.0,,,32.0,13.0,,,167.0,,,,,15.0,,,,313.0,174.0,144.0,157.0,656.0,131.0,321.0,1669.0,509.0,968.0,5302.0,40238.0,,18.0,,,81.0,2567.0,,320.0,2549.0,,806.0,,,8595.0
224,1990,Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,43.0,,,,,,,,,,,,,,,15.0
225,1990,French Guiana,,,,,,,,,,,443.0,,,2089.0,9605.0,,4570.0,,,,1722.0,,,,,,,,,,,,,,,,6204.0,,,,,,2242.0,,309.0,15289.0,,,,,,,
226,1990,Guyana,,5.0,,4.0,156.0,,,,,,13.0,,54.0,,,83.0,,,,,286.0,103.0,,189.0,,,,,,,,,,,,,485.0,,,,,,,,,1047.0,,478.0,,92.0,,,285.0
227,1990,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3059.0,,,50447.0,809.0,111355.0,2460.0,,,,,,,,,3293.0,,,1418.0,,,1582.0
228,1990,Peru,,,,,,,,,646.0,,,128.0,,,34.0,,,,97.0,,,16.0,,,,,,240.0,76.0,115.0,118.0,1067.0,114.0,246.0,8122.0,4094.0,3476.0,5138.0,4247.0,2855.0,,24.0,,389.0,,,437.0,2316.0,,875.0,,,7050.0
229,1990,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0,,,,,,5114.0,,,,,,,,,,
230,1990,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,719.0,,,14559.0,,10581.0,1161.0,,,,,,1241.0,555.0,,,773.0,,427.0,,,1525.0
231,1990,Venezuela (Bolivarian Republic of),,,430.0,,241.0,907.0,,,11559.0,,200.0,18280.0,436.0,,2013.0,220.0,38.0,,912.0,,65.0,107.0,,3611.0,,,18.0,1661.0,1017.0,579.0,437.0,2886.0,2526.0,1470.0,9483.0,2224.0,4323.0,22198.0,555578.0,24600.0,,26.0,4601.0,359.0,29635.0,106.0,6076.0,,,981.0,,,11639.0
233,1990,Bermuda,,,,,,,,,11.0,,,9.0,,,1028.0,316.0,,,,,,,,34.0,158.0,,,,,,,,,,,,,,,,,,51.0,,,,,,,2295.0,,,3468.0
234,1990,Canada,106.0,1900.0,523.0,1061.0,14225.0,,72.0,96.0,1737.0,,1449.0,2668.0,4543.0,125.0,38271.0,98288.0,288.0,384.0,182.0,1464.0,1713.0,4357.0,,47386.0,38.0,34.0,935.0,1304.0,27145.0,8559.0,2202.0,18610.0,6199.0,1118.0,10660.0,1545.0,7028.0,21945.0,7547.0,7685.0,24.0,48.0,63381.0,4702.0,11010.0,513.0,5033.0,3339.0,1674.0,,14.0,422.0,238998.0
235,1990,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,30.0
236,1990,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.0,,,72.0
237,1990,United States of America,,12022.0,3363.0,21633.0,43015.0,,,,736971.0,,19529.0,347858.0,17730.0,,225393.0,334140.0,,3493.0,1180383.0,7447.0,6959.0,12824.0,,115710.0,,,29957.0,43530.0,465433.0,225739.0,108923.0,4298014.0,168659.0,85737.0,92563.0,31303.0,82489.0,55681.0,286124.0,143314.0,,,120698.0,6057.0,144199.0,2860.0,20766.0,42119.0,7972.0,744830.0,,,
